Part,Value,Device,Package,Description
R8,22,RESISTOR0805-RES,805,Resistor
R9,22,RESISTOR0805-RES,805,Resistor
R3,330,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor
R4,330,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor
R7,330,RESISTOR0805-RES,805,Resistor
R11,330,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor
R12,330,RESISTOR0805-RES,805,Resistor
R13,330,RESISTOR0805-RES,805,Resistor
C1,0.1uF,CAP0603-CAP,0603-CAP,Capacitor
C3,0.1uF,CAP0603-CAP,0603-CAP,Capacitor
R1,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor
R2,10k,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor
R10,10k,R-US_R0603,R0603,"RESISTOR, American symbol"
C13,10uF,C-EUC2012,C2012,"CAPACITOR, European symbol"
C19,10uF,C-EUC2012,C2012,"CAPACITOR, European symbol"
Y1,16MHz,CRYSTAL,ABM2-8X4.5-CRYSTAL,Crystals
C5,1uF,CAP0603-CAP,0603-CAP,Capacitor
C6,1uF,CAP0603-CAP,0603-CAP,Capacitor
C2,22pF,CAP0805,805,Capacitor
C4,22pF,CAP0805,805,Capacitor
U$2,ATMEGA32U4-TQFP,ATMEGA32U4-TQFP,TQFP44,
J1,AVR_SPI_PRG_6NS,AVR_SPI_PRG_6NS,2X3-NS,"AVR ISP 6 Pin"
FRAME1,FRAME-LETTERNONE,FRAME-LETTERNONE,NONE,"Schematic Frame"
D1,Green,LEDCHIP-LED0805,CHIP-LED0805,LED
D2,Green,LEDCHIP-LED0805,CHIP-LED0805,LED
D3,Green,LEDCHIP-LED0805,CHIP-LED0805,LED
JP2,M025MM,M025MM,SCREWTERMINAL-5MM-2,"Standard 2-pin 0.1"
U$3,MCP1754SMD,MCP1754SMD,SOT23-3,
U$1,MINI-SPDT,MINI-SPDT,2-PIN-MINI-PUSHBUTTON,"Mini Pushbutton"
SERVO,SMALL_SERVO,SMALL_SERVO,1X03,"Small servo motor"
SJ1,"USB Power",SOLDERJUMPERTRACE,SJ_2S-TRACE,"Solder Jumper"
X1,USB-SMD-NS,USB-SMD-NS,USB-MINIB-NOHOLE,"USB Connectors"
U1,USD-SOCKET,USD-SOCKET,USD-SOCKET-DX,"microSD Socket"
JP1,,M081X08,1X08,"Header 8"
JP3,,M081X08,1X08,"Header 8"
JP4,,M04PTH,1X04,"Header 4"
JP5,,M04PTH,1X04,"Header 4"
LED1,,LED5MM,LED5MM,LED
LED2,,LED5MM,LED5MM,LED
NPN,,TRANSISTOR_NPNTO-92-AMMO,TO-92-AMMO,"Generic NPN BJT"
OPTO1,,LTR-301,LTR-301,"Through-hole side-receiving IR phototransistor"
OPTO2,,LTR-301,LTR-301,"Through-hole side-receiving IR phototransistor"
PNP,,-PNP-TO92-CEB,TO92-CEB,"PNP Transistror"
R5,,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor
R6,,RESISTORAXIAL-0.3,AXIAL-0.3,Resistor
